id;nombre;categoria;cocina;ambientacion;telefono;horario;direccion;barrio
632;HAVANNA;CAFE;SANDWICHERIA;MODERNO;;;RIVADAVIA AV. 3828;Almagro
633;LA CANTINA DE JUAN CROCCO;RESTAURANTE;ITALIANA;RUSTICA;4865 2355;;PRINGLES 956;Almagro
634;FUZUE;RESTAURANTE;BRASILERA;BRASILERA;4867 3964;;TUCUMAN 3446;Almagro
635;IRUPE;CAFE;INTERNACIONAL;CLASICO PORTEÑO;4983 3362;;RIVADAVIA AV. 4300;Almagro
636;LA CONTINENTAL;RESTAURANTE;;;4374 1444;;GALLARDO, ANGEL AV. 12;Almagro
637;LA GENEROSA;RESTAURANTE;TENEDOR LIBRE;MODERNO;4865 9657;;CORRIENTES AV. 4152;Almagro
638;LAS VIOLETAS;RESTAURANTE;INTERNACIONAL;ANTIGUO;4958 7387;;RIVADAVIA AV. 3899;Almagro
639;LA PRINCESA;RESTAURANTE;TRADICIONAL;MODERNO;4862 3826;;CORRIENTES AV. 4402;Almagro
640;LO DE OSCAR;RESTAURANTE;INTERNACIONAL;MODERNO;4932 4575;;INDEPENDENCIA AV. 3925;Almagro
641;LAS FLORISTAS;RESTAURANTE;MINUTAS;MODERNO;4864 5070;;CORRIENTES AV. 4299;Almagro
642;MALEVO;RESTAURANTE;DE AUTOR;ANTIGUO;4861 1008;;BRAVO, MARIO 908;Almagro
643;LOS ORIENTALES;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4983 1202;;RIVADAVIA AV. 3981;Almagro
644;MAMA CATA;RESTAURANTE;MINUTAS;RUSTICA;4866 0466;;RIVADAVIA AV. 3500;Almagro
645;MC DONALD'S;RESTAURANTE;FAST FOOD;MODERNO;;;RIVADAVIA AV. 3865;Almagro
646;MC DONALD'S;RESTAURANTE;FAST FOOD;MODERNO;;;CORDOBA AV. 3821;Palermo
647;MEXICO;RESTAURANTE;RUSTICA;;;;LA PLATA AV. 502;Almagro
648;MEI - SHI;CAFE;CHINA;CHINA;4866 0669;;CORRIENTES AV. 4328;Almagro
649;MIKEL;RESTAURANTE;INTERNACIONAL;MODERNO;4983 3457;;RIVADAVIA AV. 3602;Almagro
650;MONTREAL;CAFE;MINUTAS;CLASICO PORTEÑO;4981 0767;;RIVADAVIA AV. 4199;Almagro
652;MURILLO;CAFE;INTERNACIONAL;MODERNO;4982 5995;;RIVADAVIA AV. 3801;Almagro
653;NEW DUNCAN;RESTAURANTE;SANDWICHERIA;MODERNO;4863 9072;;CORRIENTES AV. 4315;Almagro
654;NICO;RESTAURANTE;TENEDOR LIBRE;;4864 5758;;GALLARDO, ANGEL AV. 30;Almagro
655;PARRILLA 83;RESTAURANTE;PARRILLA;MODERNO;;;DIAZ VELEZ AV. 4293;Almagro
656;PINO'S;RESTAURANTE;MINUTAS;RUSTICA;;;RIVADAVIA AV. 3511;Almagro
657;PERECHIO;RESTAURANTE;INTERNACIONAL;MODERNO;4958 4777;;LA PLATA AV. 96;Almagro
658;PIZZERIA SOFIA;RESTAURANTE;TRADICIONAL;MODERNO;4981 5612;;RIVADAVIA AV. 4101;Almagro
659;PLAZA CORRIENTES;RESTAURANTE;;;;;CORRIENTES AV. 4656;Almagro
660;PUNTA CUORE;RESTAURANTE;MINUTAS;MODERNO;;;CORRIENTES AV. 4199;Almagro
661;RESTAURANTE CHINO;RESTAURANTE;;;;;ESTADO DE ISRAEL AV. 4382;Almagro
662;RAWSON CAFE;RESTAURANTE;INTERNACIONAL;MODERNO;4862 0629;;ROCAMORA 4302;Almagro
663;RIEMPE BAR;RESTAURANTE;MINUTAS;MODERNO;4861 0041;;HUMAHUACA 4101;Almagro
664;RIO;CAFE;MINUTAS;CLASICO PORTEÑO;;;SARMIENTO 4699;Almagro
665;SAINT'S BAR;CAFE;;;4864 1708;;LAVALLE 4082;Almagro
666;SAN CARLOS;RESTAURANTE;INTERNACIONAL;MODERNO;4902 0324;;RIVADAVIA AV. 4548;Caballito
667;STAR;RESTAURANTE;PIZZERIA;MODERNO;4867 6699;;ESTADO DE ISRAEL AV. 4302;Almagro
668;TOMATO;RESTAURANTE;INTERNACIONAL;MODERNO;4983 1437;;INDEPENDENCIA AV. 4399;Almagro
669;SAN MIGUEL;RESTAURANTE;MINUTAS;MODERNO;;;CORRIENTES AV. y JUSTO, JUAN B. AV.;Villa Crespo
670;TIEMPO CERO;RESTAURANTE;SANDWICHERIA;RUSTICA;4865 1535;;CORRIENTES AV. 4486;Almagro
671;TOÑITO;RESTAURANTE;CLASICO PORTEÑO;;4982 9180;;GASCON 307;Almagro
672;TORENTO;RESTAURANTE;TENEDOR LIBRE;;4981 6397;;RIVADAVIA AV. 4471;Almagro
673;VIETRI;RESTAURANTE;;;;;CORRIENTES AV. 4508;Almagro
674;TUÑIN;RESTAURANTE;MODERNO;;;;RIVADAVIA AV. 3402;Almagro
675;WINNER;RESTAURANTE;MINUTAS;MODERNO;4862 7460;;HUMAHUACA 4395;Almagro
676;1843 VINACOTECA;VINERIA;;;4779 0806;lunes a domingo de 8 a 00;HUMBERTO 1º 1843;San Cristobal
677;ALA...;RESTAURANTE;;;;;BELGRANO AV. 1836;Balvanera
678;A CORUÑA;VINERIA;TRADICIONAL;CLASICO PORTEÑO;4931 3582;;MISIONES 125;Balvanera
679;ALABAMA;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4861 2210;;RIVADAVIA AV. 3102;Balvanera
680;ALBERNIZ;CAFE;PIZZERIA;CLASICO PORTEÑO;4861 7500;;RIVADAVIA AV. 2886;Balvanera
681;APLAUSOS;RESTAURANTE;;;;;BELGRANO AV. 3251;Balvanera
682;AMAKAI;CAFE;MINUTAS;CLASICO PORTEÑO;4932 7909;;INDEPENDENCIA AV. 3001;Balvanera
683;ARACA BUENOS AIRES;RESTAURANTE;;;;;AYACUCHO 408;Balvanera
685;AVI BAR;CAFE;;;;;SARMIENTO 1819;Balvanera
686;BALEARES;RESTAURANTE;MINUTAS;;4954 3366;;VEDIA 2002;NuÃƒÂ±ez
687;ATENEA;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4951 0640;;RIVADAVIA AV. 2300;Balvanera
688;BALBANERA;CAFE;;;;;ALSINA, ADOLFO 3001;Balvanera
689;BANDE;RESTAURANTE;;;4932 3293;;ALSINA, ADOLFO 3119;Balvanera
690;BAR 2001;CAFE;SANDWICHERIA;CLASICO PORTEÑO;4371 4335;;LAVALLE 2001;Balvanera
691;BAR ASTURIAS;CONFITERIA;MINUTAS;CLASICO PORTEÑO;4954 2490;;PASTEUR 555;Balvanera
692;BAR AMERICANO;CAFE;SANDWICHERIA;CLASICO PORTEÑO;4951 3574;;RIVADAVIA AV. 2598;Balvanera
693;BAR BOSTON;RESTAURANTE;;;;;RIOBAMBA 438;Balvanera
694;BAR CANDY;CAFE;MINUTAS;CLASICO PORTEÑO;4952 4668;;LARREA 486;Balvanera
695;BAR ESPAÑOL;RESTAURANTE;PORTEÑA;CLASICO PORTEÑO;4931 6336;;BELGRANO AV. 3001;Balvanera
696;BAR DEL REGISTRO;;MINUTAS;CLASICO PORTEÑO;4308 5952;;JUJUY AV. 478;Balvanera
697;BAR GARDEL;RESTAURANTE;;TANGO;4964 3375;;TUCUMAN 3002;Balvanera
698;BAR ROMA;BAR;SANDWICHERIA;CLASICO PORTEÑO;4961 8863;;SAN LUIS 3101;Balvanera
699;BAR TUCUMAN;BAR;MINUTAS;CLASICO PORTEÑO;;;TUCUMAN 3140;Balvanera
700;BAR SAN JOSE;BAR;MINUTAS;CLASICO PORTEÑO;4952 0075;;PERON, JUAN DOMINGO, TTE. GENERAL 2311;Balvanera
701;BAR URQUIZA;BAR;;;;;URQUIZA, Gral. 786;Balvanera
702;BARCELONA;RESTAURANTE;INTERNACIONAL;ESPAÑOL;4953 1000;;URIBURU JOSE E., Pres. 278;Balvanera
703;BARILOCHE;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4942 6325;;SARMIENTO 2485;Balvanera
704;BARIMSH;PUB;INTERNACIONAL;CLASICO PORTEÑO;4952 2617;;RIVADAVIA AV. 1928;Balvanera
705;BAY GENESIS;CAFE;MINUTAS;CLASICO PORTEÑO;4953 4537;;CORRIENTES AV. 1900;Balvanera
706;BELLAGAMBA;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;;;RIVADAVIA AV. 2138;Balvanera
707;BARTHO;PUB;FAST FOOD;MODERNO;4953 1987;;RIOBAMBA 26;Balvanera
708;BELGRANO;CAFE;;;;;BELGRANO AV. 3009;Balvanera
709;BETA;RESTAURANTE;;;;;TUCUMAN 2409;Balvanera
710;BOCADO DULCE Y SALADO;CAFE;SANDWICHERIA;MODERNO;4953 4774;;SARMIENTO 2212;Balvanera
711;BORGOÑA;CAFE;PARRILLA;CLASICO PORTEÑO;4930 4147;;YRIGOYEN, HIPOLITO 2700;Balvanera
712;BUENOS MUCHACHOS;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4961 5950;;CORDOBA AV. 2574;Balvanera
713;BUNGALO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4951 4371;;RIVADAVIA AV. 2210;Balvanera
714;BURGER KING;RESTAURANTE;FAST FOOD;MODERNO;;;CORDOBA AV. 2332;Balvanera
715;CAFE DE LA FACU;CAFE;MINUTAS;LITERARIO;4951 6438;;CORDOBA AV. 2202;Balvanera
716;CAFE DE LAS CIENCIAS;RESTAURANTE;INTERNACIONAL;MODERNO;4374 0400;;JUNIN 785;Balvanera
717;CAFE DE LA CASONA;RESTAURANTE;;;;;CORRIENTES AV. 1979;Balvanera
718;CAFE DE LA ESQUINA;CAFE;MINUTAS;MODERNO;;;TUCUMAN 2300;Balvanera
719;CAFE DEL SIGLO;RESTAURANTE;MINUTAS;;4951 3313;;TUCUMAN 2101;Balvanera
720;CAFETIN;CAFE;;;4952 7282;;JUNIN 16;Balvanera
721;CAPITAN COCO;CAFE;MINUTAS;CLASICO PORTEÑO;1556969212;;RIOBAMBA 360;Balvanera
722;CARROT;RESTAURANTE;;;;;PASO 327;Balvanera
723;CASITAS II;RESTAURANTE;;;;;PASCO 212;Balvanera
724;CENTENARIO;RESTAURANTE;PORTEÑA;CLASICO PORTEÑO;4866 0288;;RIVADAVIA AV. 3192;Balvanera
725;CASABLANCA;RESTAURANTE;;;;;RIVADAVIA AV. 1901;Balvanera
726;CATALINO;RESTAURANTE;MINUTAS;ESPAÑOL;4952 1935;;SARMIENTO 2227;Balvanera
727;CENTRAL BAR;RESTAURANTE;;;;;CORRIENTES AV. 1835;Balvanera
728;CENTRO LALIN;RESTAURANTE;ESPAÑOLA;MODERNO;;;MORENO 1949;Balvanera
729;CERVANTES;RESTAURANTE;;;4952 9963;;AZCUENAGA 250;Balvanera
730;CERVANTES;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;;;JUNIN 107;Balvanera
731;CERVANTES II;RESTAURANTE;INTERNACIONAL;;4372 2060;;PERON, JUAN DOMINGO, TTE. GENERAL 1883;Balvanera
732;CINA BAR;RESTAURANTE;INTERNACIONAL;;4953 6483;;LAVALLE 2002;Balvanera
733;CONFINTERIA ANTIGUA L'AIGLON;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4951 7980;;CALLAO AV. 98;Balvanera
734;COMO TE EXTRAÑO CLARA;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4861 0245;;YRIGOYEN, HIPOLITO 3235;Balvanera
735;CONFITERIA LA FAMILIA;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4951 8611;;PASTEUR 176;Balvanera
736;COSTA VERDE;RESTAURANTE;;;;;MITRE, BARTOLOME 2402;Balvanera
737;CRACK;RESTAURANTE;;;;;ALSINA, ADOLFO 2995;Balvanera
738;CUATRO 9 CUATRO;RESTAURANTE;;;;;JUJUY AV. 494;Balvanera
739;CUETO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4864 1277;;RIVADAVIA AV. 2902;Balvanera
740;CUNY;RESTAURANTE;INTERNACIONAL;MODERNO;4954 5011;;RIOBAMBA 500;Balvanera
741;CURTIS;RESTAURANTE;;;;;ALSINA, ADOLFO 2725;Balvanera
742;DECIBELES;CAFE;MINUTAS;CLASICO PORTEÑO;4951 8113;;PERON, JUAN DOMINGO, TTE. GENERAL 1996;Balvanera
743;DELICITY;CONFITERIA;;;;;CORDOBA AV. 2370;Balvanera
744;DADY'S;RESTAURANTE;;;4952 6336;;PASO 415;Balvanera
745;EL BAR;CONFITERIA;INTERNACIONAL;CLASICO PORTEÑO;4951 7174;;MITRE, BARTOLOME 2502;Balvanera
746;EL BAR DE YANI;BAR;;;;;SANCHEZ DE LORIA 802;Balvanera
747;EL BAR.COM;BAR;TRADICIONAL;;4951 4552;;SARMIENTO 2015;Balvanera
748;EL CENADO;CAFE;MINUTAS;MODERNO;4953 7814;;VEDIA 1901;NuÃƒÂ±ez
749;EL CLAVEL;CAFE;;;;;CORRIENTES AV. 2311;Balvanera
750;EL ENCUENTRO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4932 3017;;YRIGOYEN, HIPOLITO 3002;Balvanera
751;EL ESPAÑOL;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4951 4722;;RINCON 196;Balvanera
752;EL ENCUENTRO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4953 0339;;MITRE, BARTOLOME 2202;Balvanera
753;EL FRESNO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4952 6902;;MITRE, BARTOLOME 2539;Balvanera
754;EL GRADUADO;CAFE;SANDWICHERIA;MODERNO;4373 5346;;CALLAO AV. 498;Balvanera
755;EL NUEVO HENRY BAR;CAFE;MINUTAS;CLASICO PORTEÑO;4951 0684;;VIAMONTE 1301;San Nicolas
756;EL LITORAL;CAFE;;;;;PASCO 2200;Parque Patricios
757;EL NUEVO NICO;CAFE;PARRILLA;CLASICO PORTEÑO;4862 4064;;RIVADAVIA AV. 2714;Balvanera
758;EL PALACIO DEL SANDWICH;RESTAURANTE;;;4951 6814;;AZCUENAGA 270;Balvanera
759;EL REBUSQUE;RESTAURANTE;;;;;JUNIN 387;Balvanera
760;EL PONCHO;RESTAURANTE;MINUTAS;;4953 0927;;URIBURU JOSE E., Pres. 215;Balvanera
761;EL VIEJO CAFE;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4931 6851;;JUJUY AV. 108;Balvanera
762;EL VIEJO JOSE MARTIN;RESTAURANTE;;;;;CORDOBA AV. 2312;Balvanera
763;ENOL;RESTAURANTE;MINUTAS;MODERNO;4952 3296;;CORRIENTES AV. 2414;Balvanera
764;EN PICADA;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4931 3063;;INDEPENDENCIA AV. 3101;Balvanera
765;ENTRETIEMPO;RESTAURANTE;MINUTAS;MODERNO;4952 9899;;JUNIN 698;Balvanera
766;EXPRESSO;RESTAURANTE;;;;;YRIGOYEN, HIPOLITO AV. 300;Monserrat
767;FACUNDO;CAFE;MINUTAS;MODERNO;4961 7464;;LARREA 692;Balvanera
768;FAUSTO;BAR;MINUTAS;CLASICO PORTEÑO;4951 5884;;PERON, JUAN DOMINGO, TTE. GENERAL 2546;Balvanera
769;FABRIZZIO;RESTAURANTE;PIZZERIA;MODERNO;4957 3588;;BELGRANO AV. 3201;Balvanera
770;FARO DE ONS;CAFE;;;;;VIAMONTE 2194;Balvanera
771;FAUSTO;BAR;MINUTAS;CLASICO PORTEÑO;4951 5884;;PERON, JUAN DOMINGO, TTE. GENERAL 2546;Balvanera
772;FEELING;RESTAURANTE;MINUTAS;MODERNO;4811 3443;;VIAMONTE 1850;Balvanera
773;FAX;BAR;MINUTAS;CLASICO PORTEÑO;4952 0471;;AYACUCHO 302;Balvanera
774;FRANCO'S;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4931 4205;;JUJUY AV. 299;Balvanera
775;FRESAS;RESTAURANTE;;;;;CORDOBA AV. 2232;Balvanera
776;GABRIEL;RESTAURANTE;;;;;MORENO 2402;Balvanera
777;GALILEO;BAR;MINUTAS;CLASICO PORTEÑO;4951 4709;;PERON, JUAN DOMINGO, TTE. GENERAL 2555;Balvanera
778;GALAXY;RESTAURANTE;SANDWICHERIA;CLASICO PORTEÑO;4952 2768;;AZCUENAGA 411;Balvanera
779;GENESIS;RESTAURANTE;MINUTAS;MODERNO;4951 1047;;YRIGOYEN, HIPOLITO 1902;Balvanera
780;HIPOCRATES;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4931 9818;;URQUIZA, Gral. 588;Balvanera
781;HOLANDA BAR;RESTAURANTE;SANDWICHERIA;CLASICO PORTEÑO;;;PERON, JUAN DOMINGO, TTE. GENERAL 2513;Balvanera
782;HOTEL SARMIENTO PALACE;RESTAURANTE;MINUTAS;MODERNO;4953 3404;;SARMIENTO 1953;Balvanera
783;JETRO;RESTAURANTE;PIZZERIA;MODERNO;4966 1400;;CORDOBA AV. 2900;Balvanera
784;JUSTINA;CAFE;;;;;URIBURU JOSE E., Pres. 497;Balvanera
785;KULI;BAR;;;;;MORENO 2001;Balvanera
786;LA ALAMBRA;RESTAURANTE;MINUTAS;;4953 7126;;SARMIENTO 2002;Balvanera
787;LA ACADEMIA;SANDWICHERIA;CLASICO PORTEÑO;;4372 2765;;CALLAO AV. 368;Balvanera
788;LA BAMBA;BAR;TRADICIONAL;MODERNO;4952 0789;;RIVADAVIA AV. 2502;Balvanera
789;LA BANCADA;CAFE;TRADICIONAL;MODERNO;4375 0017;;YRIGOYEN, HIPOLITO 1802;Balvanera
790;LA BANDA BAR;CAFE;TRADICIONAL;MODERNO;4952 8792;;SARMIENTO 2187;Balvanera
791;LA CANDELA;RESTAURANTE;;;;;CALLAO AV. 186;Balvanera
792;LA CONTINENTAL;RESTAURANTE;;;;;ENTRE RIOS AV. 415;Balvanera
793;LA CASTELLANA;RESTAURANTE;PIZZERIA;CLASICO PORTEÑO;4931 5981;;BELGRANO AV. 2902;Balvanera
794;LA CONTINENTAL PIZZERIA;RESTAURANTE;;;;;CALLAO AV. 202;Balvanera
795;LA ESTRELLA;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4954 4383;;MORENO 2099;Balvanera
796;LA FAROLA;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4931 3343;;MORENO 2902;Balvanera
797;LA FAMA;RESTAURANTE;;;;;LAVALLE 1899;Balvanera
798;LA GRAN TABERNA;RESTAURANTE;MARISCOS;CLASICO PORTEÑO;4951 7586;;COMBATE DE LOS POZOS 95;Balvanera
799;LA GRAN VIA;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;;;RIVADAVIA AV. 2014;Balvanera
800;LA NUEVA FAROLA;RESTAURANTE;PIZZERIA;MODERNO;4942 0588;;INDEPENDENCIA AV. 2001;Balvanera
801;LA PASTA;RESTAURANTE;;;4953 9285;;YRIGOYEN, HIPOLITO 2125;Balvanera
802;LA PERLA;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;5218 5747;;RIVADAVIA AV. 2800;Balvanera
803;LA PAUSA;RESTAURANTE;;;4931 3778;;AZCUENAGA 691;Balvanera
804;LA TABERNA DE EPICURO;RESTAURANTE;;;;;CALLAO AV. 682;Balvanera
805;LA PERLITA;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4861 9800;;JUJUY AV. 74;Balvanera
806;LA TAJA;RESTAURANTE;;;;;RIVADAVIA AV. 3002;Balvanera
807;LA VIRGINIA;CAFE;MINUTAS;MODERNO;4954 3163;;PASTEUR 214;Balvanera
808;LAS DALIAS;CAFE;INTERNACIONAL;CLASICO PORTEÑO;4861 4022;;RIVADAVIA AV. 3064;Balvanera
809;LAS DELICIAS;CAFE;MINUTAS;CLASICO PORTEÑO;4952 4934;;JUNIN 120;Balvanera
810;LAS LEÑAS;CAFE;;;;;MITRE, BARTOLOME 2185;Balvanera
811;LASALLE BAR;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4953 8513;;PERON, JUAN DOMINGO, TTE. GENERAL 2102;Balvanera
812;LE PETIT CAFE;RESTAURANTE;;;;;SARMIENTO 2199;Balvanera
813;LAY- LAY;RESTAURANTE;;;;;PERON, JUAN DOMINGO, TTE. GENERAL 1827;Balvanera
814;LEMON CHEESE;RESTAURANTE;MINUTAS;;4953 3007;;URIBURU JOSE E., Pres. 378;Balvanera
815;LETHEO;RESTAURANTE;;;;;PASO 687;Balvanera
816;LOS ASTROS;RESTAURANTE;INTERNACIONAL;;4953 7166;;LAVALLE 2020;Balvanera
817;LOS ANDES;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4951 7487;;RIVADAVIA AV. 2235;Balvanera
818;LUCKY'S;RESTAURANTE;TRADICIONAL;MODERNO;4961 1715;;TUCUMAN 3099;Balvanera
819;MACONDO;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4952 8719;;BELGRANO AV. 2101;Balvanera
820;MAMA JACINTA;RESTAURANTE;;;4962 9194;;TUCUMAN 2580;Balvanera
821;MAÑANA'S;RESTAURANTE;INTERNACIONAL;MODERNO;4812 4216;;CALLAO AV. 734;Balvanera
822;MAÑON;RESTAURANTE;MINUTAS;MODERNO;4932 4030;;URQUIZA, Gral. 798;Balvanera
823;MANJARES RESTO BAR;RESTAURANTE;MINUTAS;MODERNO;4951 2974;;PERON, JUAN DOMINGO, TTE. GENERAL 2390;Balvanera
825;MARTIN;CAFE;MINUTAS;CLASICO PORTEÑO;;;YRIGOYEN, HIPOLITO 1914;Balvanera
826;MATEO;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4951 4118;;RIVADAVIA AV. 2402;Balvanera
827;MATARAAN AA KENNY;CAFE;MINUTAS;ELEGANTE;4931 9469;;MORENO 3099;Balvanera
828;MATICES;RESTAURANTE;TRADICIONAL;MODERNO;4962 6100;;PUEYRREDON AV. 833;Balvanera
829;MAXIMO BAR RESTAURANT;CONFITERIA;MINUTAS;MODERNO;4954 3970;;MITRE, BARTOLOME 2158;Balvanera
830;MC DONALD'S;CONFITERIA;;;;;URIBURU JOSE E., Pres. 3;Balvanera
831;MC DONALD'S;RESTAURANTE;;;;;CORRIENTES AV. 2558;Balvanera
832;MC DONALD'S;RESTAURANTE;;;;;CORRIENTES AV. 3247;Balvanera
833;MC DONALD'S;RESTAURANTE;;;;;CORDOBA AV. 2039;Recoleta
834;MC DONALD'S;RESTAURANTE;;;;;CORRIENTES AV. 2558;Balvanera
835;MC DONALD'S;RESTAURANTE;;;;;CORRIENTES AV. 3247;Balvanera
836;MC DONALD'S;RESTAURANTE;;;;;CORDOBA AV. 2039;Recoleta
837;MC DONALD'S;RESTAURANTE;;;;;RIVADAVIA AV. 3145;Balvanera
838;MC DONALD'S;RESTAURANTE;;;;;RIVADAVIA AV. 2199;Balvanera
839;MC DONALD'S;RESTAURANTE;;;;;PUEYRREDON AV. 230;Balvanera
840;MEDITERRANEO;RESTAURANTE;INTERNACIONAL;MEDITERRANEO;4961 5136;;SAN LUIS 2902;Balvanera
841;MEGA CAFE;CAFE;;;;;TUCUMAN 2499;Balvanera
842;MERLIN;CAFE;;;4951 3000;;LARREA 214;Balvanera
843;METROPOL;RESTAURANTE;MINUTAS;MODERNO;4372 4201;;LAVALLE 1898;Balvanera
844;MI BAR;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4953 0684;lunes a viernes de 7 a 19;PASCO 296;Balvanera
845;MI CASAL;RESTAURANTE;INTERNACIONAL;CHINA;4372 5667;;CALLAO AV. 410;Balvanera
846;MILENIUM PAB;RESTAURANTE;INTERNACIONAL;PSICODELICO;4953 5039;;AYACUCHO 442;Balvanera
847;MORENA BAR;RESTAURANTE;FAST FOOD;MODERNO;4812 3533;;VIAMONTE 1872;Balvanera
848;MURILLO;RESTAURANTE;TRADICIONAL;MODERNO;4953 7006;;RIVADAVIA AV. 2501;Balvanera
849;NASU;CAFE;MINUTAS;ANTIGUO;4954 1439;;AZCUENAGA 215;Balvanera
850;NATURITY;CAFE;FAST FOOD;MODERNO;4373 2999;;LAVALLE 1901;Balvanera
851;NEW CAFFEE;CAFE;INTERNACIONAL;MODERNO;4953 2214;;CORRIENTES AV. 2006;Balvanera
852;PABLIN;RESTAURANTE;;;4964 5500;;PUEYRREDON AV. 901;Balvanera
853;PETIT PAULISTA;RESTAURANTE;;;;;PASTEUR 791;Balvanera
854;PARLAMENTO GRIEGO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4951 6832;;RIOBAMBA 65;Balvanera
855;PIERROT;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4951 3280;;AZCUENAGA 483;Balvanera
856;PIZZA BOY;BAR;PIZZERIA;CLASICO PORTEÑO;4931 9762;;ALSINA, ADOLFO 2800;Balvanera
857;PIZZERIA EUROPEA;BAR;INTERNACIONAL;MODERNO;4954 3861;;LARREA 24;Balvanera
858;PIZZERIA Y BAR PABLITO;RESTAURANTE;INTERNACIONAL;MODERNO;4961 6209;;LARREA 691;Balvanera
859;PRONTO;RESTAURANTE;MINUTAS;;4951 7286;;JUNIN 375;Balvanera
860;PSICOSIS;BAR;MINUTAS;CLASICO PORTEÑO;;;YRIGOYEN, HIPOLITO 3199;Balvanera
861;PODESTA;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4861 6209;;RIVADAVIA AV. 2802;Balvanera
862;PROSCIUTO;RESTAURANTE;INTERNACIONAL;ANTIGUO;4153 2906;;JUNIN 283;Balvanera
863;PUNTO CERO;BAR;;;;;URIBURU JOSE E., Pres. 388;Balvanera
864;QUITAPENAS;CAFE;MINUTAS;CLASICO PORTEÑO;4931 3383;;URQUIZA, Gral. 606;Balvanera
865;QUORUM;CAFE;TENEDOR LIBRE;MODERNO;4951 0855;;COMBATE DE LOS POZOS 61;Balvanera
866;RAGNAR;RESTAURANTE;MINUTAS;MODERNO;4811 2794;;TUCUMAN 1899;Balvanera
867;REIKY CAFE;RESTAURANTE;;;4374 9984;;JUNIN 631;Balvanera
868;RESTAURANT Y CONFITERIA DE LA PROVI;RESTAURANTE;INTERNACIONAL;MODERNO;4813 2721;;TUCUMAN 1889;Balvanera
869;RICO RICO;RESTAURANTE;;;4867 4900;;RIVADAVIA AV. 3002;Balvanera
870;RICHMOND;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4951 8466;;TUCUMAN 2201;Balvanera
871;RIO MALON;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4953 2517;;SARMIENTO 2108;Balvanera
872;SABOR A TANGO;RESTAURANTE;;;4953 8700;;PERON, JUAN DOMINGO, TTE. GENERAL 2535;Balvanera
873;SCUZZI;RESTAURANTE;INTERNACIONAL;MODERNO;4374 4646;;CALLAO AV. 398;Balvanera
874;SAN CAYETANO BAR;RESTAURANTE;;;;;SARMIENTO 1906;Balvanera
875;SEGISMUNDO CAFE & BAR;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4952 6837;;RIOBAMBA 292;Balvanera
876;SIR. HALEWYN;RESTAURANTE;INTERNACIONAL;FOLKLORICO;4951 1029;;PASTEUR 782;Balvanera
877;SOBRE TODOS;RESTAURANTE;MINUTAS;MODERNO;4382 0939;;YRIGOYEN, HIPOLITO 1852;Balvanera
878;SPOCK RESTO & BAR;BAR;INTERNACIONAL;MODERNO;4952 5486;;PERON, JUAN DOMINGO, TTE. GENERAL 2202;Balvanera
879;SUMALARO;CAFE;MINUTAS;MODERNO;4951 1643;;CORRIENTES AV. 2261;Balvanera
880;SUGARY COFEE;CAFE;TRADICIONAL;MODERNO;4953 8933;;YRIGOYEN, HIPOLITO 2000;Balvanera
881;TAJO;CAFE;MINUTAS;MODERNO;4961 7020;;CORDOBA AV. 2602;Balvanera
882;TOLOME;RESTAURANTE;MODERNO;;4951 1034;;MITRE, BARTOLOME 2579;Balvanera
